"","","","","a","a","a","a"
"a.temp","-6114953.16967925","-4147917.45919096","Wetland (2-3)","11588.4304205274","7279.91712256382","4785.87162713315","6453.5409080133"
"a.temp","-6114953.16967925","-4148067.45919096","Wetland (2-3)","11735.6318369061","7218.22196329525","4651.70960308123","6565.47220323117"
"a.temp","-6114953.16967925","-4148217.45919096","Wetland (2-3)","11882.9032484239","7159.13844756462","4518.54370692574","6678.89663428034"
"a.temp","-6114953.16967925","-4148367.45919096","Wetland (2-3)","12030.2420844887","7102.73174992538","4386.46466204827","6793.73941591825"
"a.temp","-6114953.16967925","-4148517.45919096","Wetland (2-3)","12177.6458977671","7049.0661304458","4255.57366654583","6909.9298297017"
"a.temp","-6114953.16967925","-4148967.45919096","Wetland (2-3)","12620.2244279333","6905.13854396842","3871.22877538883","7265.93663964953"
"a.temp","-6114953.16967925","-4149117.45919096","Wetland (2-3)","12767.8658988652","6863.05131201846","3746.364535306","7386.88501679846"
"a.temp","-6114953.16967925","-4149267.45919096","Wetland (2-3)","12915.5617226431","6824.00236748189","3623.40754420457","7508.88175771876"
"a.temp","-6114803.16967925","-4139967.45919096","River (1)","4008.71720272221","12760.8458697453","12401.4419013031","5247.12152054802"
"a.temp","-6114803.16967925","-4140117.45919096","River (1)","4137.40844145233","12631.6951479758","12253.3504084146","5157.95688731481"
"a.temp","-6114803.16967925","-4140267.45919096","River (1)","4267.49148931794","12503.0099300686","12105.3059123425","5071.66188259808"
"a.temp","-6114803.16967925","-4140867.45919096","Wetland (2-3)","4799.46076256503","11993.2229743049","11513.6341452816","4758.22385469605"
"a.temp","-6114803.16967925","-4141017.45919096","River (1)","4934.89195539288","11867.0945185161","11365.8526398768","4688.59565876592"
"a.temp","-6114803.16967925","-4141167.45919096","Wetland (2-3)","5071.14322528968","11741.5274692604","11218.1300238228","4622.78749797118"
"a.temp","-6114803.16967925","-4141317.45919096","Wetland (2-3)","5208.15021014193","11616.5400318423","11070.468654551","4560.96472814674"
"a.temp","-6114803.16967925","-4141467.45919096","Wetland (2-3)","5345.85480642727","11492.1511176714","10922.8710159644","4503.29149083187"
"a.temp","-6114803.16967925","-4141617.45919096","Wetland (2-3)","5484.20446476985","11368.380373272","10775.3397269597","4449.9291288063"
"a.temp","-6114803.16967925","-4141767.45919096","Wetland (2-3)","5623.15157286389","11245.2482103062","10627.8775506399","4401.03445242126"
"a.temp","-6114803.16967925","-4141917.45919096","Wetland (2-3)","5762.65291436173","11122.7758366064","10480.4874042859","4356.7578830363"
"a.temp","-6114803.16967925","-4142067.45919096","Wetland (2-3)","5902.66919379714","11000.9852882092","10333.172370158","4317.24150950569"
"a.temp","-6114803.16967925","-4142217.45919096","Wetland (2-3)","6043.16461892292","10879.8994623754","10185.935707209","4282.61710305732"
"a.temp","-6114803.16967925","-4142367.45919096","Wetland (2-3)","6184.10653299261","10759.5421515693","10038.7808637999","4253.00414429602"
"a.temp","-6114803.16967925","-4142517.45919096","Wetland (2-3)","6325.46509052116","10639.9380783629","9891.71149151632","4228.50792258914"
"a.temp","-6114803.16967925","-4142667.45919096","Wetland (2-3)","6467.21297093284","10521.1129312158","9744.73146019921","4209.2177719143"
"a.temp","-6114803.16967925","-4142817.45919096","Wetland (2-3)","6609.32512526067","10403.0934010705","9597.84487431403","4195.2055076479"
